quote,tags
أكيس الكيْس التقوى، وأحمق الحَمَق الفجور، وأصدق الصِدْق الأمانة، وأكذب الكذِب الخيانة .,"['دروس،', 'اسلام']"
لا أعتقد ، يا سيدي ، أن لك أي حق في أن تأمرني ، لمجرد أنك أكبر مني ، أو لأنك رأيت الكثير من العالم أكثر مما رأيته ؛ تعتمد مطالبتك بالتفوق على استخدامك لوقتك وخبرتك .,"['العمر', 'التمكين', 'المساواة']"
الحياة أقصر من أن تضيع أي قدر من الوقت في التساؤل عما يعتقده الآخرون عنك. في المقام الأول ، إذا كان لديهم أشياء أفضل تحدث في حياتهم ، فلن يكون لديهم الوقت للجلوس والتحدث عنك. ما يهمني ليس آراء الآخرين عني ، ولكن المهم بالنسبة لي هو رأيي في نفسي .,"['تحدي', 'حرية', 'ملهمة']"
أشقَى الولاة مَن شَقيت بِه رعِيَّتُه.,['سياسة']
يريد الناس ان يعرفوا مقدار اهتمامك قبل أن يهتموا بمقدار معرفتك .,"['حوار،', 'تعامل']"
أفكر وأفكر وأفكر ، لقد فكرت في نفسي من السعادة مليون مرة ، لكنني لم أفكر فيها مرة واحدة.,"['السعادة', 'التفكير', 'الحكمة']"
من الخطأ أن تتخذ الكثير جداً من الاحتياطات .,['تأملات']
الحقيقة المحرفة باعتدال هي اخطر انواع الباطل .,['حقيقة']
القلق هو دوار الحرية.,"['القلق', 'الدوخة', 'الخوف']"
كلنا نحب الدنيا ، و لكن منا من يحب مع الدنيا حب النجاة في الآخرة ، و منا من لا يبالي في أي واد هلـك .,['حياة']
لا يمكننا أبدًا الحكم على حياة الآخرين ، لأن كل شخص يعرف فقط آلامه وتخليه عن نفسه. إن الشعور بأنك على الطريق الصحيح شيء ، ولكن التفكير في أن طريقك هو الطريق الوحيد شيء آخر .,['حياة']
حُبّكَ الأوطانَ عجزٌ ظاهرٌ ... فاغتربْ تلقَ عن الأهلِ بَدَلْ,['أخرى']
لا يشعر المرء بطعم الرخاء طالما انه لم يذق طعم الشدة .,['سعادة']
كن انت التغيير الذي تريد ان تراه في العالم .,"['تفكير،', 'تغيير']"
بعض الجروح القديمة لا تلتئم حقًا ، وتنزف مرة أخرى عند أدنى كلمة.,"['مؤلم', 'ألم', 'مثالي']"
الفكرة باختصار : ضع هدفاً ، و لا تتخل عنه حتى تحققه .,"['طموح،', 'نجاح']"
المدرس الموهوب شخص نادر الوجود .,"['علم،', 'معرفة']"
نحن نعيش ونتنفس الكلمات. .... كانت الكتب هي التي جعلتني أشعر أنني ربما لم أكن وحدي تمامًا. يمكن أن يكونوا صادقين معي وأنا معهم. قراءة كلماتك ، ما كتبته ، كيف كنت تشعر بالوحدة والخوف أحيانًا ، ولكنك دائمًا شجاع ؛ بالطريقة التي رأيت بها العالم ، ألوانه وملمسه وأصواته ، شعرت - شعرت بالطريقة التي كنت تفكر بها ، وتأمل ، وشعرت ، وحلمت. شعرت أنني أحلم وأفكر وأشعر بك. حلمت بما كنت تحلم به ، أردت ما تريد - ثم أدركت أنني حقًا أردتك فقط .,"['الأحلام', 'الحروف', 'الحب']"
أنا أكذب على نفسي طوال الوقت. لكنني لا أصدقني أبدًا .,"['أكاذيب', 'كذب', 'خداع']"
لا يثبطنك تعب أو فشل عن اجتياز الميل الأخير الذي يفصل بينك وبين أهدافك. فهو أمتع مراحل جهادك في سبيل تحقيق مقاصدك.,"['طموح،', 'نجاح']"
اذا أراد الله بقوم سوء أعطاهم الجدل و منعهم العمل .,"['طموح،', 'نجاح']"
عش إلى درجة البكاء.,"['حياة', 'حية']"
كل ذهب وفضة على وجه الأرض لا يبلغ ثمن نخلة البصرة.,['تاريخ']
أعلم أننا مارسنا الجنس ، حسناً؟ أنا مندفع وحار ، وأنت تحت بشرتي مثل أي شخص آخر. أنت تتصرف وكأنك تكرهني في دقيقة واحدة ، ثم تحتاجني في اليوم التالي. أنا لا أحصل على أي شيء بشكل صحيح ، وأنا لا أستحقك ... لكني أحبك يا أبي. أحبك أكثر مما أحببت أي شخص أو أي شيء على الإطلاق. عندما تكون في الجوار ، لست بحاجة إلى شرب الخمر ، أو المال ، أو القتال ، أو الوقوف لليلة واحدة ...,[]
قد تغفر لك المرأة القسوة والظلم، لكنها لا تغفر لك عدم الاهتمام بها.,['مشاكل،حلول']
إن قاعدة النجاح الاولى التي تعلو على اية قـاعدة اخرى ، هي امتلاك الطاقة .. فمن المهم معرفة كيفية تركيز هذه الطاقة و ترويضها و توجيهها على الاشياء الهامة ، بدلا من تبديدها و تشتيتها على الاشياء التافهة وغير المجدية .,"['تميز،', 'شجاعة']"
أن تكون على حق ، لا يستوجب أن يكون صوتك مرتفعا .,['أمثال']
التعليم هو القدرة على الاستماع إلى أي شيء تقريبًا دون فقدان أعصابك أو ثقتك بنفسك.,['تعليم']
كل حقيقة علمية تمر بثلاث مراحل : في البداية ، يقول الناس أنها تخالف الدين ،ثم يقولون أنه قد تم اكتشافها مؤخراً ، و أخيراً يقولون أنهم طالما آمنوا بها .,['حقيقة']
يفشل الناس كثيرا ، ليس بسبب نقص القدرات ، وانما بسبب نقص في الالتزام .,"['تميز،', 'شجاعة']"
إذا التزمت بجميع القواعد ، فستفتقد كل المتعة.,"['كاثرين', 'هيبورن']"
إن المرء إذا كـان صافي المزاج و رائقه ، وسعه أن يتقبل أشد الأزمات و المواقف خطورة بأقل ما يمكـن من الـتأثر ، أما إذا كـان متعكر المزاج ملبده ؛ فإن أبسط المواقف و أتفهها توشك أن تصل به إلى شفا اليأس .,['تأملات']
كما أن البدن إذا مرض لم ينفع فيه الطعام والشراب – فكذلك القلب إذا مرض بالشهوات لم تنجع فيه المواعظ.,"['دروس،', 'اسلام']"
إذا قلت الحقيقة ، فلا داعي لتذكر أي شيء.,"['أكاذيب', 'كذب', 'ذاكرة']"
يقول الناس أن الحياة هي الشيء ، لكني أفضل القراءة.,"['الحياة', 'القرا']"
ابدأ حديثك بتوضيح نواياك الايجابية لكي تتجنب سوء الفهم مع الطرف المقابل.,"['حوار،', 'تعامل']"
تعلم حسنَ الاستماعِ كما تتعلمُ حسنَ الكلامِ، ومن حسنِ الاستماع إمهالُ المتكلمِ حتى ينقضي حديثهُ، وقلة التلفت إلى الجوابِ، والإقبالُ بالوجهِ والنظر إلى المتكلمِ، والوعي لما يقولُ.,"['حوار،', 'تعامل']"
لا يمكن للمرء أن يصنع حذاءً بإتقان إلا إذا صنعه بإخلاص.,"['تجديد،', 'إبداع']"
ما أحتاجه هو الهندباء في الربيع. الأصفر المشرق الذي يعني ولادة جديدة بدلا من الدمار. الوعد بأن الحياة يمكن أن تستمر ، مهما كانت خسائرنا سيئة. أن هذا يمكن أن يكون جيدا مرة أخرى.,['إلهام']
أفقر الناس من عاش بلا أمل.,['أمثال']
رسالة الاسلام هي ألا أحني جبهتي و لا صلبي و لا ضميري إلا الله وحده .,['خواطر']
نخلط كثيراً بين الصبر و الانتظار ، فالصبر لا يعني الجلوس ساكنين ، بل يجب ان يواكب العمل الحثيث لتحقيق الاهداف المنشودة .,"['كفاح،', 'الصبر']"
و من لم يمت بالسيف مات بغيره ... تعددت الأسباب و الموت واحد .,"['تميز،', 'شجاعة']"
الدنيا معلم حقيقي ، لكنهل تتقاضى أجراً كبيراً .,['أمثال']
الضحكة النابعة من القلب هي رياضة داخلية لا تضطر المرء إلى الخروج من بيته .,['خواطر']
بعض الناس يرجمون غيرهم بالاحجار ، ليعاقبوا أنفسهم في غيرهم ، و يسقطوا عيوبهم على غيرهم .,['أخرى']
كل أحلامنا يمكن أن تتحقق ، إذا كانت لدينا الشجاعة لمتابعتها.,['حلم']
معظم الناس تخلط بين الإدارة السيئة و القدر .,"['تنمية', 'الذات،', 'تحفيز']"
لو عمل المسلمون بآداب قرآنهم للفتوا الأنظار إلى روعته أكثر من ألف جمعية ، و ألف خطاب ، و ألف كتاب .,['خواطر']
هناك ثلاثة أمور يخافها جميع الحكماء: البحر في عاصفة ، ليلة بلا قمر ، وغضب الرجل اللطيف.,"['الخوف', 'اسم', 'الريح']"
لا تذهب إلى الفراش جنون. ابقوا قاتلوا وقاتلوا .,"['الغضب', 'مضحك', 'النوم']"
كل السعادة تعتمد على الشجاعة والعمل.,"['الشجاعة', 'السعادة', 'العمل']"
أقوم دائمًا بتوجيه مشاعري إلى عملي. بهذه الطريقة ، أنا لا أؤذي أحدا غير نفسي .,['سينا']
وضع النظارتين لا يعني معرفة القراءة .,['تأملات']
اذا ابتسمت للآخرين يصبح نهارك مضيئاً أكثر .,"['حوار،', 'تعامل']"
تعلمت أنه ليس ما نأكله ، إنما ما نهضمه هو يجعلنا بصحة جيدة ، و ليس مـا نتعلمه ، إنما ما نتذكره ما يجعلنا حكماء ، و ليس ما نربحه ، إنما ما نوفره يجعلنا أغنياء .,['حياة']
لتجتذب الرائعين يجب أن تكون رائعاً ، و لتجتذب الاقوياء يجب أن تكون قوياً ، و لتجتذب المخلصين يجب أن تكون مخلصاً .. فبـدلاً من العمل على تحويل الناس الى ما ليسوا عليه ، اعمل على ذاتك .. فاذا أصبحت كما تريد اجتـذبت اليك من تريد .,"['حوار،', 'تعامل']"
رائحتك طيبة أيضًا ، قال باتشيت إنه يسمى الاستحمام. كنت أحدق إلى الأمام مباشرة. عندما لم يجيب ، استدرت جانبيًا. • الصابون. شامبو. الماء الساخن - عارية. أنا أعرف التدريبات .,[]
الحياة تتقلص أو تتسع بما يتناسب مع شجاعة المرء.,"['شجاعة', 'حياة']"
حاول أن تكون قوس قزح في سحابة شخص ما.,['نصيحة']
التواجد معًا هو البداية... البقاء معًا هو التقدم... العمل معًا هو النجاح .,"['طموح،', 'نجاح']"
في عالم الاعمال يتم دفع الاجور على صورتين : المال والخبرة .. خذ الخبرة الآن و سوف يأتيك المال لاحقاً .,"['رجال', 'أعمال']"
"المال لا يجعلك سعيدا .. فأنا أملك الأن ""50"" مليون دولار ، و مازلت أشعر بنفس قدر السعادة التى كنت أشعر بها حينما كانت ثروتى ""48"" مليون !",['طرائف']
الدرس الذي تكرره لنا الحياة باستمرار هو (أنظر تحت قدميك) ، فعادة ما يكون المصدر الحقيقي لقوتك أقرب مما تتصور .,['حياة']
لا تخف من مخاوفك. إنهم ليسوا هناك لإخافتك. إنهم هناك لإعلامك بأن شيئًا ما يستحق ذلك .,"['الإيمان', 'الشجاعة', 'الشجاعة']"
دائما يستطيع الأطفال أن يعلموا الكبار ثلاثة أشياء: السعادة بلا سبب ، الانشغال بشيء ما ، ومعرفة كيف يطلبون بكل قوة ما يرغبون فيه.,"['أبا', 'أبنا']"
يجب ان تعمل في صمت ، و لا يجب ان يكون الصمت عملك .,"['طموح،', 'نجاح']"
في بعض الأحيان عليك أن تفقد كل ما عليك أن تكتشف من أنت حقًا.,"['نفسك', 'إلهام', 'إلهام']"
إنها لمتعةٌ أية متعة أن يختبر الإنسان شجاعته ومدى قدرته على الاحتمال حين تسوء أموره وتتقطع به الأسباب.,"['كفاح،', 'الصبر']"
إن الحركة الاسلامية المعاصرة في حاجة ماسة في الظروف الراهنة الى قلوب متجردة الله تعالى ، لا تنظر الى متاع دنيوي حقير زائل .. و لا تعمل من أجل الزعامة أو القيادة أو الصدارة .. أو من أجل الجماعة التي تنـتمي اليها و لو كان ذلك على حساب المنهج الصحيح .,['خواطر']
اذا أخطأت فلا تجعل العذر كذبة مزخرفة .,"['نصائح،', 'اخلاق']"
من الصعب قول أهم الأشياء. إنها الأشياء التي تخجل منها ، لأن الكلمات تقلل منها - الكلمات تقلص الأشياء التي بدت بلا حدود عندما كانت في رأسك إلى ما لا يزيد عن حجم المعيشة عندما يتم إخراجها. لكن الأمر أكثر من ذلك ، أليس كذلك؟ تكمن أهم الأشياء في مكان قريب جدًا من المكان المدفون فيه قلبك السري ، مثل معالم كنز يرغب أعداؤك في سرقته. وقد تقوم بإكتشافات تكلفك غالياً فقط أن تجعل الناس ينظرون إليك بطريقة مضحكة ، ولا يفهمون ما قلته على الإطلاق ، أو لماذا كنت تعتقد أنه مهم للغاية لدرجة أنك كادت أن تبكي بينما كنت تقول ذلك. أعتقد أن هذا هو الأسوأ. عندما يظل السر مغلقًا ليس بسبب عدم وجود صراف ولكن لعدم وجود أذن متفهمة .,['كتابة']
إن العبد الذليل لا يمكنه ان يمثل أمة حرة لأنه يذلها .,['حرية']
قطرة الماء تثقب الحجر ، لا بالعنف و لكن بتواصل السقوط .,['تأملات']
فقط عندما تعتقد أنه لا يمكن أن يصبح أسوأ ، يمكن أن يحدث. وفقط عندما تعتقد أنه لا يمكن أن يتحسن ، يمكن ذلك .,['الحياة']
الموت ينهي حياة، لا علاقة.,"['الحياة', 'الموت']"
من يقف بجانب قضية عادلة لا يمكن أن يطلق عليه إرهابي.,['سياسة']
إن الله جنوداً يحفظونك و يدافعون عنك ، منها: عملك الصالح .,"['دروس،', 'اسلام']"
رب نزهة قصيرة مع عائلتك ، تحل لك كثيراً من المشكلات .,['مشاكل،حلول']
كن ناراً و لا تكن حريقا .,"['طموح،', 'نجاح']"
الكتب تريد أن تولد ، أنا لا أصنعها .. إنها تأتى إلي و تصر على أن تـُكتب ، و أن تكون كذا و كذا .,"['علم،', 'معرفة']"
المدح غير المستحق .. سخرية متخفية .,"['حوار،', 'تعامل']"
عليك أن تتعلم قواعد اللعبة .. ثم عليك أن تلعب افضل من أي شخص آخر .,['رياضة']
الخيال .. بساط الريح الحقيقي .,['تأملات']
من لم يمت بالسيف مات بغيره ... تعددت الاسباب و الموت واحد,['أخرى']
العمر الحقيقي للإنسان هو عمره بعد موته.,"['دروس،', 'اسلام']"
في الايام العصيبة، قد يهبط الخطأ ولو بشكل غير مقصود الى مستوى الخيانة .,['تأملات']
فقط لأن لديك النطاق العاطفي لملعقة صغيرة لا يعني أننا جميعًا نمتلك.,['هيرميون']
درب عقلك على الامساك بزمام المبادرة دائماً .. كن الفعل ولا تكن رد الفعل .,"['تنمية', 'الذات،', 'تحفيز']"
المؤتمرات ... معظمها يكون وسيلة منظمة لتأجيل اتخاذ اي قرار .,['تأملات']
قد يعيد التاريخ نفسه مرات عدة ، لكن سعره يتضاعف مع كل مرة .,['تاريخ']
كل شيء يمكنك تخليه هو حقيقي.,"['خيال', 'إلهام', 'حياة']"
ليست الاهداف ضرورية لتحفيزنا فحسب ، بل هي أساسية فعلا لبقائنا على قيد الحياة .,"['تنمية', 'الذات،', 'تحفيز']"
الضمير المطمئن خير وسادة للراحة .,['خواطر']
العادة تبدأ سخيفة ، ثم تصبح مألوفة ، ثم تغدو معبودة .,['تأملات']
استخدامك لكلمة ...( لكن )... اثناء حديثك قد يلغي معنوياً كل ما قلته قبلها .,"['حوار،', 'تعامل']"
السبب في انتشار الجهل أن من يملكونه متحمسون جدا لنشره .,['عام']
لقد وقعت في الحب معه. لكنني لا أبقى معه بشكل افتراضي كما لو لم يكن هناك أحد آخر متاح لي. أبقى معه لأنني أختار ، كل يوم أستيقظ فيه ، كل يوم نتشاجر فيه أو نكذب على بعضنا البعض أو نخيب أمل بعضنا البعض. أختاره مرارًا وتكرارًا ، ويختارني .,"['وكالة', 'اختيارات']"
الحاجة تزرع في المرء العادة.,['إدارة']
إدارة العدالة هي أمتن أركان الحكومة.,['سياسة']
لم أذهب إلى الدين لإسعادتي. كنت أعرف دائمًا أن زجاجة بورت ستفعل ذلك. إذا كنت تريد أن يجعلك الدين تشعر بالراحة حقًا ، فأنا بالتأكيد لا أوصي بالمسيحية .,['النصرانية']
الثياب تصنع الرجل. الأشخاص العراة لديهم تأثير ضئيل أو معدوم على المجتمع .,['ملابس']
ليست الثورة طريقا مفروشا بالورود، بل هي صراع بين المستقبل والماضي.,['حرية']
الثقة مثل المرآة ، يمكنك إصلاحها إذا تحطمت ، ولكن لا يزال بإمكانك رؤية الصدع في انعكاس ذلك اللعين.,"['بيونسيه', 'ليدي', 'غاغا']"
من أكثر العادات الجسمانية التي يهملها الناس هي التنفس .,"['تنمية', 'الذات،', 'تحفيز']"
أنتم إلى إمام فعّال أحوج منكم إلى إمام قوّال.,['سياسة']
الفرق بين العبقرية والغباء هو: العبقرية لها حدودها.,"['أخطأ', 'نسبه', 'إلى']"
حضارتنا لا تمثلها الحيطان والجدران، ولكن يمثلها علم وفعل الإنسان.,"['علم،', 'معرفة']"
أكثر الناس تعاسة في هذا العالم ، هم أولئك الذين يهتمون أكثر بما يعتقده الآخرون.,"['حرية', 'ملهمة', 'موقف']"
القائل بأن المهم ليس المكسب أو الخسارة كان في الغالب خاسراً .,['رياضة']
إذا كنت تبحث عن فكرة مبتكرة ، فاذهب لتتمشى ، فالالهام ينزل على الاشخاص الذين يمشون .,"['تجديد،', 'إبداع']"
لما استعمل الرواة الكذب ، استعملنا لهم التاريخ .,['تاريخ']
التكرار أبو المهارات .,['أمثال']
الحرب لا تحدد من هو المصيب، بل تحدد فقط من هو الباقي.,['حرب']
عندما يكون المرء في حالة حب ، يبدأ المرء دائمًا بخداع نفسه ، وينتهي دائمًا بخداع الآخرين. هذا ما يسميه العالم بالرومانسية .,['رومانسي']
الدموع لا تسترد المفقودين ولا الضائعين ولا تجترح المعجزات .. كل دموع الارض لا تستطيع ان تحمل زورقا صغيرا يتسع لابوين يبحثان عن طفلهما المفقود .,['خواطر']
"في الأمة الضعيفة المستعبَدة حرف النفي ""لا"" قليل الاستعمال.",['حرية']
الإنسان غير القادر على الاسترخاء بعيداً عن العمل ينقصه الكثير الكثير.,"['طموح،', 'نجاح']"
من لا خير فيه لأهله ، لا خير فيه لأحد .,['أمثال']
تذكرني وابتسم ، فمن الأفضل أن تنسى من أن تتذكرني وتبكي.,"['دكتور', 'سوس', 'وداع']"
كل شخص تُطوِّقه أينما ذهب سحابة من القناعات المريحة التي تتحرك معه مثل الذباب في يوم من أيام الصيف.,['أخرى']
الطريق لم يسلك طريقان متباعدان في خشب أصفر ، وآسف لأنني لم أستطع السفر على حد سواء وكوني مسافرًا واحدًا ، وقفت طويلاً ونظرت إلى الأسفل بقدر ما استطعت إلى حيث تنحني في الشجيرات ؛ ثم أخذ الآخر ، كما لو كان عادلاً ، وربما كان لديه ادعاء أفضل ، لأنه كان عشبيًا ويريد ارتداءه ؛ على الرغم من أن المرور هناك قد لبسهما حقًا نفس الشيء ، وكلاهما في ذلك الصباح كانا على قدم المساواة في الأوراق لم تكن هناك خطوة قد داسها باللون الأسود. أوه ، لقد احتفظت بالأول ليوم آخر! ومع ذلك ، كنت أعرف كيف يقودني الطريق إلى الطريق ، كنت أشك في ما إذا كان ينبغي عليّ العودة. سأقول هذا بتنهيدة في مكان ما من العصور والأعمار ومن هنا: طريقان تباعدا في الغابة ، وأنا - أخذت الطريق الأقل سافرًا ، وقد أحدث ذلك فرقًا كبيرًا.,"['اختيار', 'شعر']"
لا اريد الذهاب الى الجنة. لا أحد من أصدقائي هناك .,"['روح', 'الدعابة']"
الجامعات في امريكا و أوربا و اسرائيل لا تبحث عن العلم من أجل العلم ، و لا تبحث عن المعرفة من أجل الارتقاء بمكانة الإنسان الاجتـماعية و شبكة علاقاته بالمنشأ و الحياة و المصير .. و انما هم هناك يبحثون عن المعرفة و العـمل باعتبارهما عنصراً من عناصر القوة اللازمة للنجاح في عملية الصراع الدولي .,"['علم،', 'معرفة']"
لتكن أعمالك مصغية دائماً إلى صوت هدفك الأسمى .,"['طموح،', 'نجاح']"
تبدأ حياتنا في إنهاء اليوم الذي نصمت فيه عن الأشياء المهمة.,['ملهم']
الأصدقاء هم اولئك النادرون الذين يسألوننا كيف نحـن ثم ينتظرون لسماع الجواب .,['صداقة']
تعتقد أن ألمك وحسرة قلبك غير مسبوق في تاريخ العالم ، لكنك تقرأ بعد ذلك. كانت الكتب هي التي علمتني أن أكثر الأشياء التي تعذبني هي الأشياء التي ربطتني بكل الأشخاص الذين كانوا على قيد الحياة ، والذين كانوا على قيد الحياة على الإطلاق .,"['كتب', 'تعاطف', 'ألم']"
لا تنفصل عن أوهامك. عندما يرحلون ، قد تكون لا تزال موجودًا ، لكنك لم تعد تعيش .,"['أوهام', 'حياة']"
قل الحقيقة ، أو سيخبرك أحد بذلك.,"['روح', 'الدعابة', 'الحياة']"
جميل أن يموت الإنسان من أجل وطنه، وأجمل منه أن يعيش لأجله.,['أمثال']
حتى لو انتصر الشر فانه لا يستقر أبداً .,['حرب']
قد يفتقر الجمال إلى الفضيلة ، أما الفضيلة فلا تفتقر إلى الجمال أبداً .,"['نصائح،', 'اخلاق']"
مرة واحدة فقط في حياتك ، أعتقد حقًا ، أنك تجد شخصًا يمكنه تغيير عالمك تمامًا. تخبرهم بأشياء لم تشاركها أبدًا مع روح أخرى ويستوعبون كل ما تقوله ويريدون في الواقع سماع المزيد. أنت تشارك الآمال في المستقبل ، والأحلام التي لن تتحقق أبدًا ، والأهداف التي لم تتحقق أبدًا وخيبات الأمل العديدة التي ألقتها الحياة عليك. عندما يحدث شيء رائع ، لا يمكنك الانتظار لإخبارهم عنه ، مع العلم أنهم سيشاركونك في الإثارة. إنهم لا يخجلون من البكاء معك عندما تتأذى أو تضحك معك عندما تخدع نفسك. لا يؤذون مشاعرك أبدًا أو يجعلونك تشعر بأنك لست جيدًا بما يكفي ، بل يبنونك ويظهرون لك الأشياء الخاصة بك التي تجعلك مميزًا وحتى جميلًا. لا يوجد أبدًا أي ضغط أو غيرة أو منافسة ولكن فقط هدوء هادئ عندما يكونون في الجوار. يمكنك أن تكون على طبيعتك ولا تقلق بشأن ما سيفكرون فيه لأنهم يحبونك على ما أنت عليه. الأشياء التي تبدو غير مهمة لمعظم الناس مثل النوتة أو الأغنية أو المشي تصبح كنوزًا لا تقدر بثمن محفوظة في قلبك لتعتز بها إلى الأبد. تعود ذكريات طفولتك لتظهر بوضوح وحيوية ، وكأنك تكون شابًا مرة أخرى. الألوان تبدو أكثر إشراقا وأكثر إشراقا. يبدو الضحك جزءًا من الحياة اليومية حيث كان نادرًا أو لم يكن موجودًا على الإطلاق. تساعدك مكالمة هاتفية أو مكالمتان خلال اليوم في إتمام يومك الطويل من العمل وتجلب الابتسامة دائمًا على وجهك. في وجودهم ، ليست هناك حاجة لمحادثة مستمرة ، ولكنك تجد أنك راضٍ تمامًا عن مجرد وجودهم بالقرب منك. الأشياء التي لم تكن تهتم بك من قبل تصبح رائعة لأنك تعلم أنها مهمة لهذا الشخص المميز جدًا بالنسبة لك. تفكر في هذا الشخص في كل مناسبة وفي كل ما تفعله. أشياء بسيطة تجعلهم يتبادرون إلى الذهن مثل سماء زرقاء شاحبة أو رياح لطيفة أو حتى سحابة عاصفة في الأفق. تفتح قلبك مدركًا أن هناك فرصة قد تنكسر يومًا ما ، وعند فتح قلبك ، ستختبر حبًا وفرحًا لم تحلم به مطلقًا. تجد أن كونك ضعيفًا هو الطريقة الوحيدة للسماح لقلبك بالشعور بالسعادة الحقيقية التي تخيفك. تجد القوة في معرفة أن لديك صديقًا حقيقيًا وربما توأم روح سيظل مخلصًا حتى النهاية. تبدو الحياة مختلفة تماما ومثيرة وجديرة بالاهتمام. أملك الوحيد والأمان هو معرفة أنهما جزء من حياتك .,[]
لا يوجد مستحيل أمام من يحاول.,"['طموح،', 'نجاح']"
لا أحد يمكنه إشعارك بالنقص بدون موافقتـك .,"['حوار،', 'تعامل']"
مهما قدمت للذئب من طعام فانه يظل يحن إلى الغابة .,['حياة']
جنون احدهم هو واقع شخص اخر.,"['الجنون', 'الجنون', 'المنظور']"
ثلاثة قد يخفون سرًا ، إذا مات اثنان منهم.,['أسرار']
المسافر الجيد ليس لديه خطط ثابتة وليس لديه نية للوصول.,"['حياة', 'سفر']"
الحضارة تبنيها الافعال و يهدمها الانفعال .,"['دروس،', 'اسلام']"
الهوايات لها قـوة علاجية رائعة ، فهي تبعدك عن ضغوط الحياة اليومية و تأخذك الى الراحة و السعادة .,['سعادة']
إذا أردت التوقف عن القلق و البدء بالحياة ، إليك بهذه القاعدة : عدد نعمك و ليس متاعبك .,['سعادة']
كي تكون صادقاً في تقييم نفسك قم بمحاسبتها على انك شخص آخر ، و حاول أن تحصي ما لها و ما عليها .,['حكمة']
لإكتساب المعرفة على المرء أن يدرس ، و لإكتساب الحكمة عليه أن يلاحظ.,['حكمة']
إذا خاف الناس من الإقدام على أخطار تطوير ذواتهم لأن الفشل سيلاحقهم إلى الأبد فإنهم لن يفعلوا و سيتراجعون إلى عالم مريح ، لكنه عالم لا يتطور فيه الناس و لا تنمو شخصياتهم .,"['تنمية', 'الذات،', 'تحفيز']"
يعتمد نجاح القرار على أمرين : المعلومات المتوفرة، و العقل الذي يصنع القرار .,"['تنمية', 'الذات،', 'تحفيز']"
يفضل معظم الرجال إنكار الحقيقة الصعبة على مواجهتها.,"['إنكار', 'صدق', 'حقيقة']"
لا يحتوي قاموس النجاح على كلمة (... و لكن ...) .,"['طموح،', 'نجاح']"
للتقاليد قدسية الدين عند الجاهلين ، و قيمة النقود عند الدجالين ، و خطورة السم عند المصلحين .,['خواطر']
عرض محاسن الدين افضل من الرد على شبهات المعارضين .,"['دروس،', 'اسلام']"
أن تكون لا أحد سوى نفسك في عالم يبذل قصارى جهده ليلًا ونهارًا ليجعلك مثل أي شخص آخر يعني خوض أصعب معركة يمكن لأي إنسان خوضها وعدم التوقف عن القتال أبدًا.,[]
لسوء الحظ ، الساعة تدق ، الساعات تمضي. يزداد الماضي ، ويتراجع المستقبل. الاحتمالات تتناقص ، والندم على تصاعدها .,"['الساعة', 'المستقبل', 'الماضي']"
بالخبرة و الممارسة ، يصبح بامكانك تقدير الوقت اللازم لانجاز كل عمل أو مهمة .,"['تنمية', 'الذات،', 'تحفيز']"
الوطن تميته الدموع ، و تحييه الدماء .,['خواطر']
من طلب أخا بلا عيب صار بلا أخ.,['صداقة']
إن عجبت لشيء فعجبي لرجال تنمو أجسامهم وتصغر عقولهم.,['أخرى']
لو أننا فعلنا ما نحن قادرين على فعله لصعقنا أنفسنا .,"['تنمية', 'الذات،', 'تحفيز']"
اذا رغبت ان يكون ما تطلبه متقن الصنع .. فاصنعه بنفسك.,['أمثال']
ليس من من الضروري أن يكون كلامي مقبولا، بل من الضروري أن يكون صادقا.,['خواطر']
نعم: أنا حالم. فالحالم هو من لا يجد طريقه إلا بضوء القمر ، وعقوبته أنه يرى الفجر قبل بقية العالم .,"['حلم', 'أحلام', 'خيال']"
وأولئك الذين شوهدوا وهم يرقصون كان يعتقد أنهم مجانين من قبل أولئك الذين لا يستطيعون سماع الموسيقى.,"['موسيقى', 'الرقص']"
يجب أن يكون قلب المرأة مخفيًا في الله لدرجة أن على الرجل أن يبحث عنه فقط ليجدها.,['إلهام']
يشرع البشر القوانين لانهم لا يثقون بغرائزهم .,['حياة']
هذه علامة جيدة ، لها قلب مكسور. هذا يعني أننا حاولنا من أجل شيء ما .,"['وجع', 'القلب', 'الحب']"
لا يمكن لأي مرب أو معلم أو داعية أن يكون ناجحاً أو فاعلاً ما لم يكن محبوباً من طلابه و مدعويه مهما حمل من علم .. و لـهذا يقول الله عز و جل لسيد البشرية في علاقته بالناس : (( و لو كنت فظاً غليظ القلب لانفضوا من حولك )) .,['خواطر']
عندي عقل ، و عندي وجدان .. و أحب ان استخدم الاثنين .,['تأملات']
عندما تدور نفس القصة على عدة ألسنة، فاعلم أن %٥٠ من وقائعها قد تغيرت.,['تأملات']
عندما أذهب إلى الفراش أترك همومي في ملابسي .,['أمثال']
لاشئ يبدأ في الوقت الذي تظنه بدأ فيه .,['أخرى']
الإرادة هي ما يدفعك للخطوة الاولى على طريق الكفاح ، اما العزيمة فهي ما يبقيك على هذا الطريق حتى النهاية .,"['تنمية', 'الذات،', 'تحفيز']"
النمو لمجرد النمو هو نفس مبدأ الخلية السرطانية .,['حياة']
يجب أن يكون كل شيء بسيطًا قدر الإمكان. لكن ليس أبسط .,"['أينشتاين', 'المعاد', 'صياغته']"
